"youtuber","category","category_top","country","continent","highest_monthly_earnings","created_year","subscribers","subscriber_tier","video_views"
"Jazzghost","Gaming","Gaming","Brazil","South America","426900.00",2012,13900000,"10M-100M","5673347763"
"karameeshchannel","Entertainment","Entertainment","Jordan","Other","350600.00",2012,13900000,"10M-100M","9106781518"
"Darkar Company Studios","Film & Animation","Film & Animation","United States","North America","18400.00",2009,13900000,"10M-100M","2244318380"
"Dental Digest","People & Blogs","People & Blogs","Nothing","Other","926200.00",2020,13900000,"10M-100M","7450345720"
"ADEL et SAMI","Entertainment","Entertainment","United States","North America","107500.00",2018,13900000,"10M-100M","5465532801"
"Jamuna TV","News & Politics","Other","Bangladesh","Other","0.00",2021,13900000,"10M-100M","12129583055"
"Atlantic Records","Music","Music","United States","North America","389100.00",2006,13900000,"10M-100M","12513842343"
"�������� �� ������������","nan","Other","United States","North America","457000.00",2018,13900000,"10M-100M","8451754769"
"Veritasium","Education","Education","United States","North America","176600.00",2010,13900000,"10M-100M","2165885634"
"Alexa Rivera","Howto & Style","Other","Nothing","Other","571000.00",2010,13900000,"10M-100M","3193226072"
"Geo News","News & Politics","Other","Pakistan","Other","400200.00",2007,13800000,"10M-100M","5727888539"
"��������/Atro","Gaming","Gaming","Netherlands","Europe","220500.00",2017,13800000,"10M-100M","2480957682"
"JD Pantoja","People & Blogs","People & Blogs","Nothing","Other","54100.00",2017,13800000,"10M-100M","1493776391"
"Hacksmith Industries","Science & Technology","Other","Canada","North America","335800.00",2006,13800000,"10M-100M","1820559912"
"Think Music India","Music","Music","India","Asia","868400.00",2009,13800000,"10M-100M","11039343563"
"Airrack","Entertainment","Entertainment","United States","North America","398600.00",2015,13800000,"10M-100M","2224911030"
"Kids TV India Hindi Nursery Rhymes","Shows","Other","India","Asia","314600.00",2014,13800000,"10M-100M","6646953396"
"123 GO! Spanish","People & Blogs","People & Blogs","Mexico","North America","106100.00",2019,13800000,"10M-100M","5019136690"
"Desi Gamers","Gaming","Gaming","Nothing","Other","0.02",2020,13700000,"10M-100M","2135195239"
"MAIKI021","Entertainment","Entertainment","Brazil","South America","29800.00",2008,13700000,"10M-100M","1950178163"
"The Vishal bhatt","Comedy","Comedy","India","Asia","1500000.00",2021,13700000,"10M-100M","9596430464"
"NishaMadhulika","Howto & Style","Other","India","Asia","88900.00",2009,13700000,"10M-100M","2939201386"
"MyMissAnand","People & Blogs","People & Blogs","India","Asia","111500.00",2014,13700000,"10M-100M","4963275018"
"FAPTV","Comedy","Comedy","Vietnam","Asia","140500.00",2014,13700000,"10M-100M","5457203710"
"Wesley Safad�","Music","Music","Brazil","South America","256200.00",2009,13700000,"10M-100M","8134379376"
"infobells","Education","Education","India","Asia","95600.00",2011,13700000,"10M-100M","5178142148"
"O Que N������","Comedy","Comedy","Brazil","South America","351200.00",2015,13700000,"10M-100M","1967930734"
"Goldmines Premiere","Entertainment","Entertainment","India","Asia","150600.00",2013,13700000,"10M-100M","1973638757"
"Saturday Night Live","Entertainment","Entertainment","United States","North America","226500.00",2013,13600000,"10M-100M","14717282742"
"BBC","Pets & Animals","Other","United Kingdom","Europe","177700.00",2005,13600000,"10M-100M","9685060624"
"JOJO TV - Hindi Stories","Education","Education","India","Asia","43100.00",2016,13600000,"10M-100M","5141201173"
"Lindsey Stirling","Music","Music","United States","North America","61100.00",2007,13600000,"10M-100M","3764608356"
"DALLMYD","Sports","Other","United States","North America","122700.00",2011,13600000,"10M-100M","1948925559"
"Zeinab Harake","nan","Other","Philippines","Asia","48400.00",2017,13600000,"10M-100M","896891351"
"Acenix","Gaming","Gaming","Spain","Europe","189700.00",2014,13600000,"10M-100M","2122062016"
"Lady Diana","Entertainment","Entertainment","Ukraine","Other","300600.00",2016,13500000,"10M-100M","8265920659"
"BUDI01 GAMING","Gaming","Gaming","Indonesia","Asia","53700.00",2019,13500000,"10M-100M","1181292450"
"Typical Gamer","Gaming","Gaming","Canada","North America","130200.00",2008,13500000,"10M-100M","4301581610"
"Anaysa","Howto & Style","Other","India","Asia","118800.00",2012,13500000,"10M-100M","3445794123"
"JULIA GISELLA","Entertainment","Entertainment","United Kingdom","Europe","6.00",2015,13500000,"10M-100M","5380132790"
"Awakening Music","Music","Music","United Kingdom","Europe","141200.00",2006,13500000,"10M-100M","5545936485"
"Sanjoy Das Official","Entertainment","Entertainment","India","Asia","716900.00",2015,13500000,"10M-100M","3912334359"
"Woody & Kleiny","Comedy","Comedy","United Kingdom","Europe","2000000.00",2013,13500000,"10M-100M","11717217293"
"Vijay Kumar Viner Vlogs","Entertainment","Entertainment","India","Asia","439300.00",2019,13500000,"10M-100M","7958771872"
"Conor Maynard","Music","Music","United States","North America","43100.00",2006,13500000,"10M-100M","2750993392"
"Wengie","Howto & Style","Other","United States","North America","5300.00",2010,13500000,"10M-100M","1900272833"
"H2ODelirious","Gaming","Gaming","United States","North America","67100.00",2007,13400000,"10M-100M","4356686216"
"GMA Integrated News","News & Politics","Other","Philippines","Asia","461800.00",2007,13400000,"10M-100M","9569814790"
"Peet Montzingo","People & Blogs","People & Blogs","United States","North America","1600000.00",2014,13400000,"10M-100M","10022557589"
"The Q","People & Blogs","People & Blogs","United States","North America","0.01",2006,13400000,"10M-100M","4306212515"
"Vlad y Niki Show","nan","Other","United States","North America","368900.00",2018,13400000,"10M-100M","4622628957"
"Codiscos","Music","Music","Colombia","South America","915600.00",2007,13400000,"10M-100M","11789678655"
"The World Adventures ������","People & Blogs","People & Blogs","India","Asia","4200.00",2016,13400000,"10M-100M","2139769210"
"Vibhu 96","nan","Other","India","Asia","81100.00",2022,13400000,"10M-100M","20563378"
"Blockbuster Movies","Entertainment","Entertainment","India","Asia","0.00",2017,13400000,"10M-100M","2650061211"
"ATHLEAN-X�","Howto & Style","Other","United States","North America","58000.00",2006,13400000,"10M-100M","2319515787"
"My Mate Nate","Comedy","Comedy","Thailand","Asia","166700.00",2014,13400000,"10M-100M","3363634923"
"Stray Kids","People & Blogs","People & Blogs","Nothing","Other","0.01",2007,13300000,"10M-100M","3364230487"
"Matt Steffanina","Entertainment","Entertainment","United States","North America","7700.00",2007,13300000,"10M-100M","3299216601"
"theRadBrad","Gaming","Gaming","United States","North America","62800.00",2006,13300000,"10M-100M","6050102764"
"AzzyLand","Gaming","Gaming","Canada","North America","21500.00",2015,13300000,"10M-100M","6412313570"
"Trakin Tech","Science & Technology","Other","India","Asia","174700.00",2011,13300000,"10M-100M","2262690743"
"BanderitaX","Gaming","Gaming","Saudi Arabia","Other","282800.00",2013,13300000,"10M-100M","4129249415"
"Kabita's Kitchen","Howto & Style","Other","India","Asia","172500.00",2014,13300000,"10M-100M","2831275503"
"Just For Laughs Gags","Comedy","Comedy","United States","North America","69900.00",2007,13300000,"10M-100M","7406628736"
"penguinz0","Gaming","Gaming","United States","North America","755800.00",2007,13300000,"10M-100M","7773543609"
"VexTrex","Entertainment","Entertainment","Ukraine","Other","0.00",2014,13300000,"10M-100M","7923901253"
"Kids Line�������","People & Blogs","People & Blogs","United States","North America","647600.00",2011,13300000,"10M-100M","9088562002"
"������������������","People & Blogs","People & Blogs","Russia","Europe","361000.00",2015,13300000,"10M-100M","6482687220"
"Vogue","Entertainment","Entertainment","United States","North America","180400.00",2008,13300000,"10M-100M","4177184071"
"Kurt Hugo Schneider","Entertainment","Entertainment","United States","North America","16900.00",2007,13300000,"10M-100M","3733856870"
"jbalvinVEVO","Music","Music","Colombia","South America","345100.00",2010,13200000,"10M-100M","20743586601"
"Ei Nerd","Entertainment","Entertainment","Nothing","Other","0.00",2007,13200000,"10M-100M","3568392223"
"CookingShooking Hindi","People & Blogs","People & Blogs","India","Asia","46000.00",2017,13200000,"10M-100M","1758603195"
"Technology Gyan","Science & Technology","Other","India","Asia","74100.00",2015,13200000,"10M-100M","1138262456"
"HUBA��","Entertainment","Entertainment","United States","North America","1300000.00",2021,13200000,"10M-100M","9884886099"
"BIBO ������","Entertainment","Entertainment","Russia","Europe","35100.00",2019,13200000,"10M-100M","1148422000"
"Brawl Stars","Gaming","Gaming","Finland","Other","81500.00",2017,13200000,"10M-100M","2036408398"
"Sonotek Bhakti","Entertainment","Entertainment","India","Asia","101300.00",2010,13200000,"10M-100M","3789736218"
"Vilmei","nan","Other","Indonesia","Asia","1100000.00",2013,13200000,"10M-100M","4205664894"
"MC Divertida","Entertainment","Entertainment","Brazil","South America","258100.00",2018,13200000,"10M-100M","5224764969"
"The Infographics Show","Education","Education","United States","North America","207300.00",2011,13200000,"10M-100M","5263540904"
"������TwinsFromRussia","People & Blogs","People & Blogs","United States","North America","477600.00",2011,13200000,"10M-100M","9378175604"
"��������������� Ms Yeah","People & Blogs","People & Blogs","United States","North America","242600.00",2017,13100000,"10M-100M","4399833602"
"Hungria Hip Hop","Music","Music","Brazil","South America","192900.00",2013,13100000,"10M-100M","4608751851"
"RaptorGamer","People & Blogs","People & Blogs","Ecuador","Other","251600.00",2016,13100000,"10M-100M","2879263916"
"RedeTV","Entertainment","Entertainment","Brazil","South America","70400.00",2011,13100000,"10M-100M","5333569294"
"twenty one pilots","Music","Music","United States","North America","203700.00",2009,13100000,"10M-100M","5264039679"
"DJ Khaled","Music","Music","Samoa","Other","2.00",2006,13100000,"10M-100M","6637820731"
"Ryan Trahan","Entertainment","Entertainment","United States","North America","0.99",2022,13100000,"10M-100M","2182651464"
"Alex Gonzaga Official","People & Blogs","People & Blogs","Philippines","Asia","43400.00",2017,13100000,"10M-100M","1401914513"
"WiederDude","nan","Other","United States","North America","227600.00",2016,13100000,"10M-100M","2733682792"
"Ian Boggs","Entertainment","Entertainment","Nothing","Other","1300000.00",2010,13100000,"10M-100M","9110348202"
"Lokdhun Punjabi","Music","Music","India","Asia","137800.00",2010,13100000,"10M-100M","4712624489"
"Knowledge Tv ������","People & Blogs","People & Blogs","Nothing","Other","0.01",2019,13100000,"10M-100M","1936582704"
"Painzeiro","People & Blogs","People & Blogs","Brazil","South America","176000.00",2015,13100000,"10M-100M","2555801802"
"Peppa Pig em Portugu���������","Film & Animation","Film & Animation","Brazil","South America","109400.00",2014,13100000,"10M-100M","4214172991"
"GH'S","Gaming","Gaming","South Korea","Asia","4300000.00",2020,13000000,"10M-100M","8739174649"
"Davie504","Entertainment","Entertainment","Italy","Europe","119500.00",2011,13000000,"10M-100M","2683297849"
"Everson Zoio","Comedy","Comedy","Brazil","South America","12200.00",2009,13000000,"10M-100M","1024467771"
"Calon Sarjana","Entertainment","Entertainment","Indonesia","Asia","0.00",2016,13000000,"10M-100M","10664585"
"Lofi Girl","Music","Music","France","Europe","121900.00",2015,13000000,"10M-100M","1698279553"
"Jomy Production","Entertainment","Entertainment","India","Asia","0.01",2021,13000000,"10M-100M","5057163256"
"JesseAndMike","Entertainment","Entertainment","United States","North America","164400.00",2007,13000000,"10M-100M","9999238237"
"Wolfoo Channel","nan","Other","Pakistan","Other","2.00",2021,13000000,"10M-100M","301547793"
"Susy Mouriz","Entertainment","Entertainment","Mexico","North America","1500000.00",2017,13000000,"10M-100M","6270909026"
"7 Minutoz","Music","Music","Brazil","South America","118100.00",2012,13000000,"10M-100M","4349562794"
"The LaBrant Fam","Comedy","Comedy","United States","North America","0.00",2012,13000000,"10M-100M","4637474071"
"gymvirtual","Sports","Other","Spain","Europe","48000.00",2010,12900000,"10M-100M","2509752944"
"BIBO�����","Entertainment","Entertainment","South Korea","Asia","16000.00",2016,12900000,"10M-100M","3178222797"
"Top Viral Talent","Entertainment","Entertainment","United States","North America","117500.00",2014,12900000,"10M-100M","3643698504"
"Akon","Music","Music","United States","North America","365000.00",2005,12900000,"10M-100M","6300933122"
"AlArabiya �����","People & Blogs","People & Blogs","United Arab Emirates","Other","320900.00",2006,12900000,"10M-100M","7520379951"
"Rauw Alejandro","Music","Music","Nothing","Other","822200.00",2014,12900000,"10M-100M","11504090820"
"EnriqueIglesiasVEVO","Music","Music","United States","North America","303100.00",2009,12900000,"10M-100M","15446707595"
"�������� ���� ��������������","Shows","Other","Ukraine","Other","284500.00",2014,12900000,"10M-100M","5585085130"
"The Shiny Peanut","Education","Education","Indonesia","Asia","3400.00",2016,12900000,"10M-100M","2848466522"
"Pastor Ant�����","People & Blogs","People & Blogs","Brazil","South America","127200.00",2013,12900000,"10M-100M","2112274210"
"Matheus Yurley","Entertainment","Entertainment","Brazil","South America","591.00",2015,12900000,"10M-100M","140022442"
"Duo Tiempo De Sol","Music","Music","Spain","Europe","216000.00",2013,12800000,"10M-100M","6662288136"
"Adam W","Comedy","Comedy","United States","North America","915800.00",2015,12800000,"10M-100M","9502983550"
"Beyonc��","Music","Music","United States","North America","358300.00",2009,12800000,"10M-100M","14185611472"
"Right to Shiksha","Education","Education","India","Asia","855000.00",2020,12800000,"10M-100M","7876740921"
"MrSuicideSheep","Entertainment","Entertainment","Canada","North America","72500.00",2010,12800000,"10M-100M","6970899521"
"Troom Troom India","Howto & Style","Other","Nothing","Other","69100.00",2015,12800000,"10M-100M","6804072897"
"Talking Angela","Entertainment","Entertainment","United Kingdom","Europe","111800.00",2014,12800000,"10M-100M","3632438963"
"Melon City Show - �����������","Comedy","Comedy","Iraq","Other","141300.00",2016,12800000,"10M-100M","5863456698"
"FACT FIRE KING","nan","Other","India","Asia","205200.00",2020,12700000,"10M-100M","1159290255"
"Franco Escamilla","Comedy","Comedy","Mexico","North America","309900.00",2007,12700000,"10M-100M","4266957149"
"Adexe & Nau","Music","Music","Spain","Europe","40300.00",2013,12700000,"10M-100M","4579773883"
"Go Ami Go!","People & Blogs","People & Blogs","Colombia","South America","1300000.00",2015,12700000,"10M-100M","1714955279"
"Heidi y Zidane","nan","Other","United States","North America","64500.00",2019,12700000,"10M-100M","6001189018"
"Piuzinho","Gaming","Gaming","Brazil","South America","14500.00",2015,12700000,"10M-100M","1081285962"
"#Ref����","Entertainment","Entertainment","Nothing","Other","27800.00",2013,12700000,"10M-100M","2709954270"
"Blossom","Howto & Style","Other","United States","North America","175500.00",2017,12700000,"10M-100M","4733873025"
"YoungBoy Never Broke Again","Entertainment","Entertainment","United States","North America","679900.00",2015,12700000,"10M-100M","13174393401"
"Future","Music","Music","United States","North America","1900.00",2020,12700000,"10M-100M","9927699419"
"Jass Records","Music","Music","Nothing","Other","0.00",2012,12700000,"10M-100M","5958994201"
"Diana and Roma IND","nan","Other","United States","North America","186400.00",2019,12700000,"10M-100M","5567832210"
"Ian Lucas","Entertainment","Entertainment","Nothing","Other","0.00",2016,12700000,"10M-100M","1450874545"
"Ellie Goulding","Music","Music","United Kingdom","Europe","146700.00",2007,12600000,"10M-100M","6969178081"
"Morgz","Gaming","Gaming","United Kingdom","Europe","235400.00",2014,12600000,"10M-100M","3303595310"
"CaseyNeistat","People & Blogs","People & Blogs","United States","North America","23800.00",2010,12600000,"10M-100M","3152402405"
"���������SULGI","People & Blogs","People & Blogs","South Korea","Asia","452500.00",2012,12600000,"10M-100M","3485373675"
"NickiMinajAtVEVO","Music","Music","United States","North America","140100.00",2010,12600000,"10M-100M","8831179714"
"Bebefinn - Nursery Rhymes & Kids Songs","nan","Other","United States","North America","0.00",2022,12500000,"10M-100M","4163639093"
"CKM","Comedy","Comedy","India","Asia","52600.00",2018,12500000,"10M-100M","4465772496"
"Quantum Tech HD","Science & Technology","Other","Pakistan","Other","35.00",2022,12500000,"10M-100M","4340213066"
"colinfurze","Entertainment","Entertainment","United Kingdom","Europe","33900.00",2006,12500000,"10M-100M","1612094871"
"People Vs Food","Entertainment","Entertainment","United States","North America","61400.00",2013,12500000,"10M-100M","1136534702"
"Wolfoo Family","nan","Other","United States","North America","0.00",2019,12500000,"10M-100M","161254021"
"Ja Mill","People & Blogs","People & Blogs","Nothing","Other","0.00",2006,12500000,"10M-100M","1302818088"
"Health Time","Howto & Style","Other","India","Asia","5600.00",2016,12500000,"10M-100M","1002219689"
"Yair17","Gaming","Gaming","Mexico","North America","35500.00",2014,12500000,"10M-100M","1402042328"
"Little Baby Bum en Espa��","Education","Education","Spain","Europe","65300.00",2014,12500000,"10M-100M","6956320454"
"First We Feast","Howto & Style","Other","United States","North America","445000.00",2014,12500000,"10M-100M","2983799729"
"M����","Travel & Events","Other","Mexico","North America","124000.00",2015,12500000,"10M-100M","3140883140"
"Troom Troom PT","Howto & Style","Other","Nothing","Other","54000.00",2015,12500000,"10M-100M","4384177908"
"Parafernalha","Entertainment","Entertainment","Brazil","South America","28600.00",2011,12500000,"10M-100M","4625777945"
"NDTV","Entertainment","Entertainment","India","Asia","234100.00",2006,12500000,"10M-100M","4935793409"
"elcarteldesantatv","Music","Music","Mexico","North America","463500.00",2008,12500000,"10M-100M","7489455451"
"Family Fitness","Entertainment","Entertainment","India","Asia","942900.00",2017,12500000,"10M-100M","10384848759"
"Zee Tamil","Entertainment","Entertainment","India","Asia","1400000.00",2008,12500000,"10M-100M","11552190002"
"Flowers Comedy","Entertainment","Entertainment","India","Asia","720100.00",2015,12500000,"10M-100M","11691081301"
"Mundo Bita","Music","Music","Brazil","South America","854800.00",2011,12500000,"10M-100M","16690788752"
"Wave Music Bhakti","Music","Music","India","Asia","44300.00",2011,12500000,"10M-100M","5146004207"
"Troom Troom Indonesia","People & Blogs","People & Blogs","Nothing","Other","0.00",2020,12500000,"10M-100M","5379684248"
"LOUD","Gaming","Gaming","United States","North America","110.00",2006,12400000,"10M-100M","2394143260"
"SAAIHALILINTAR","Entertainment","Entertainment","Indonesia","Asia","3200.00",2012,12400000,"10M-100M","1113066203"
"Gustavo Par��","Comedy","Comedy","Brazil","South America","0.00",2010,12400000,"10M-100M","2602614088"
"Hero Movies 2023","People & Blogs","People & Blogs","Nothing","Other","87300.00",2017,12400000,"10M-100M","1689090619"
"Heidi and Zidane HZHtube","Entertainment","Entertainment","Canada","North America","38400.00",2015,12400000,"10M-100M","4021409291"
"Gibby :)","People & Blogs","People & Blogs","Mexico","North America","41100.00",2014,12400000,"10M-100M","2862685032"
"DaniRep | +6 V�����������","Gaming","Gaming","Spain","Europe","330600.00",2012,12400000,"10M-100M","6933660906"
"Timba Vk","Gaming","Gaming","Spain","Europe","96100.00",2012,12400000,"10M-100M","2840137980"
"_vector_","Comedy","Comedy","United States","North America","3600000.00",2019,12400000,"10M-100M","7597013023"
"DEV Ke Facts","nan","Other","India","Asia","1100000.00",2012,12400000,"10M-100M","1971226335"
"Migos ATL","Music","Music","United States","North America","197600.00",2012,12400000,"10M-100M","6993406259"
"TKOR","Education","Education","Nothing","Other","0.00",2006,12400000,"10M-100M","3392022527"
"Caylus","Education","Education","United States","North America","710400.00",2016,12400000,"10M-100M","4779139505"
"Avril Lavigne","Music","Music","United States","North America","200800.00",2005,12400000,"10M-100M","6202090191"
"ANNA KOVA","People & Blogs","People & Blogs","Nothing","Other","0.01",2006,12400000,"10M-100M","13959586308"
"bharatzkitchen HINDI","Howto & Style","Other","India","Asia","123900.00",2016,12400000,"10M-100M","2315226648"
"MoniLina","Comedy","Comedy","United States","North America","0.00",2016,12400000,"10M-100M","16086808918"
"DisneyChannelUK","Music","Music","United Kingdom","Europe","139000.00",2007,12400000,"10M-100M","12607488647"
"Pari's Lifestyle","People & Blogs","People & Blogs","India","Asia","152700.00",2018,12400000,"10M-100M","7741764747"
"Zee Kids","Film & Animation","Film & Animation","India","Asia","380700.00",2012,12400000,"10M-100M","7683670251"
"Panda","nan","Other","United Kingdom","Europe","268.00",2006,12300000,"10M-100M","2214684303"
"RobTopGames","Gaming","Gaming","Sweden","Europe","15500.00",2012,12300000,"10M-100M","374123483"
"Make Joke Of","Comedy","Comedy","India","Asia","96000.00",2017,12300000,"10M-100M","2129773714"
"Free Fire India Official","People & Blogs","People & Blogs","India","Asia","258900.00",2018,12300000,"10M-100M","1674409945"
"Natan por A�","Sports","Other","Brazil","South America","2200000.00",2017,12300000,"10M-100M","9029609749"
