"youtuber","category","country","category_top","country (1)","continent","subscribers","video_views","max_monthly_earnings","score","year"
"Vlad and Niki ARA","nan","United States","Other","United States","North America","16100000","7399296005","128000.00","2964586802",2019
"Jane ASMR ��","nan","South Korea","Other","South Korea","Asia","17700000","7387621644","0.00","2960358658",2012
"TEDx Talks","Nonprofits & Activism","United States","Other","United States","North America","38600000","7339333120","182600.00","2947368028",2009
"Anitta","Music","Brazil","Music","Brazil","South America","17200000","7337212581","290700.00","2940132242",2011
"Jake Paul","People & Blogs","United States","People & Blogs","United States","North America","20400000","7311322368","58600.00","2930666527",2013
"Frost Diamond","Gaming","Nothing","Gaming","Nothing","Other","30100000","7277493940","0.00","2920027576",2006
"Kiddiestv Hindi - Nursery Rhymes & Kids Songs","Education","India","Education","India","Asia","20200000","7274150246","453700.00","2915856208",2017
"News18 India","News & Politics","India","Other","India","Asia","17500000","7263619576","1600000.00","2911177830",2007
"CollegeHumor","Comedy","United States","Comedy","United States","North America","14700000","7255848125","0.00","2906749250",2006
"SUPER SLICK SLIME SAM","Howto & Style","Mexico","Other","Mexico","North America","19000000","7229175322","493400.00","2897518149",2018
"Diana and Roma EN","People & Blogs","United States","People & Blogs","United States","North America","23900000","7213499085","711100.00","2892782964",2011
"deepesh zo","People & Blogs","Nothing","People & Blogs","Nothing","Other","16800000","7206462713","0.00","2887625085",2021
"Like Nastya IDN","Entertainment","Indonesia","Entertainment","Indonesia","Asia","16800000","7195314800","171300.00","2883217310",2019
"Netflix","Entertainment","United States","Entertainment","United States","North America","26700000","7173668905","472900.00","2877619432",2012
"David Dobrik","People & Blogs","United States","People & Blogs","United States","North America","17900000","7176572299","34600.00","2876009300",2014
"Linus Tech Tips","Science & Technology","Canada","Other","Canada","North America","15600000","7172386509","352900.00","2873740474",2008
"League of Legends","Gaming","United States","Gaming","United States","North America","15000000","7159750970","172500.00","2868452138",2009
"Panda Shorts","nan","Sweden","Other","Sweden","Europe","16100000","7155736006","1900000.00","2867694402",2020
"Sony LIV","Entertainment","India","Entertainment","India","Asia","15200000","7151683497","843600.00","2865486479",2014
"Bollywood Classics","Entertainment","India","Entertainment","India","Asia","16300000","7141825267","605900.00","2861801877",2011
"UFC - Ultimate Fighting Championship","Sports","United States","Other","United States","North America","16400000","7135820721","532800.00","2859408128",2006
"FitDance","Music","France","Music","France","Europe","16100000","7126210721","3.00","2855314289",2006
"CoryxKenshin","Gaming","United States","Gaming","United States","North America","16700000","7102965621","420500.00","2846322398",2009
"Family GamesTV","Entertainment","Nothing","Entertainment","Nothing","Other","20200000","7066711323","0.00","2832744529",2012
"BBC News Hindi","News & Politics","India","Other","India","Asia","16500000","7043235131","524800.00","2822401492",2009
"TheWillyrex","Comedy","Spain","Comedy","Spain","Europe","18400000","7038827526","44000.00","2821064210",2011
"�������� ��������","Howto & Style","Ukraine","Other","Ukraine","Other","14800000","7018015062","188500.00","2811702575",2015
"Smile Family Spanish","nan","United States","Other","United States","North America","18600000","7008250496","173600.00","2808932278",2019
"Migos ATL","Music","United States","Music","United States","North America","12400000","6993406259","197600.00","2801141784",2012
"SIS vs BRO","Entertainment","Ukraine","Entertainment","Ukraine","Other","14200000","6973932553","0.42","2793833021",2016
"MrSuicideSheep","Entertainment","Canada","Entertainment","Canada","North America","12800000","6970899521","72500.00","2792221558",2010
"Ellie Goulding","Music","United Kingdom","Music","United Kingdom","Europe","12600000","6969178081","146700.00","2791495242",2007
"Little Baby Bum en Espa��","Education","Spain","Education","Spain","Europe","12500000","6956320454","65300.00","2786297772",2014
"Like Nastya Stories","Entertainment","United States","Entertainment","United States","North America","14500000","6944967581","119800.00","2782372972",2019
"DaniRep | +6 V�����������","Gaming","Spain","Gaming","Spain","Europe","12400000","6933660906","330600.00","2777283542",2012
"Demi Lovato","Music","United States","Music","United States","North America","17900000","6888074944","116700.00","2760634988",2008
"Kwebbelkop","Gaming","United States","Gaming","United States","North America","15000000","6889304306","118900.00","2760257392",2008
"Lana Del Rey","Music","United States","Music","United States","North America","14100000","6884215292","542300.00","2758078807",2011
"Daily Dose Of Internet","Entertainment","United States","Entertainment","United States","North America","16100000","6872702790","1600000.00","2754391116",2015
"Kuplinov ���","Gaming","Nothing","Gaming","Nothing","Other","15600000","6862529416","394600.00","2749810146",2012
"Camilo","Music","Colombia","Music","Colombia","South America","15900000","6802382479","239600.00","2725794872",2010
"Troom Troom India","Howto & Style","Nothing","Other","Nothing","Other","12800000","6804072897","69100.00","2725489889",2015
"GENIAL","Howto & Style","Mexico","Other","Mexico","North America","31800000","6762424690","125800.00","2714547616",2017
"Maya and Mary","Entertainment","United States","Entertainment","United States","North America","23600000","6766461070","178200.00","2713717888",2013
"Chad Wild Clay","Comedy","United States","Comedy","United States","North America","14700000","6751985988","145400.00","2705248015",2006
"Zuni and Family","People & Blogs","Nothing","People & Blogs","Nothing","Other","17900000","6746269458","0.02","2703877783",2020
"EdisonPts","Gaming","Russia","Gaming","Russia","Europe","15100000","6668507856","382400.00","2672047862",2013
"Duo Tiempo De Sol","Music","Spain","Music","Spain","Europe","12800000","6662288136","216000.00","2668820054",2013
"Kids TV India Hindi Nursery Rhymes","Shows","India","Other","India","Asia","13800000","6646953396","314600.00","2663015738",2014
"DJ Khaled","Music","Samoa","Music","Samoa","Other","13100000","6637820731","2.00","2659058293",2006
"Team Films Bhojpuri","Music","India","Music","India","Asia","15700000","6626563508","123000.00","2655372303",2014
"NDTV India","News & Politics","India","Other","India","Asia","15200000","6624168155","198600.00","2654286842",2008
"Skrillex","Music","United States","Music","United States","North America","20100000","6618524158","101100.00","2653469993",2010
"Pen Movies","Film & Animation","India","Film & Animation","India","Asia","24300000","6608773195","379400.00","2650913098",2014
"Camila Cabello","Music","United States","Music","United States","North America","16300000","6613422635","170800.00","2650310294",2015
"Collins Key","Entertainment","United States","Entertainment","United States","North America","23900000","6582932625","43400.00","2640356070",2011
"Brent Rivera","Comedy","United States","Comedy","United States","North America","27000000","6570935979","577800.00","2636647732",2009
"Boyce Avenue","Music","United States","Music","United States","North America","16300000","6578828147","115100.00","2636455789",2007
"infobells - Kannada","Education","India","Education","India","Asia","14200000","6554000320","566800.00","2626030168",2014
"sagar kalra (Shorts)","People & Blogs","Nothing","People & Blogs","Nothing","Other","16000000","6543629679","296200.00","2622340732",2017
"Vlad and Niki PRT","nan","United States","Other","United States","North America","14400000","6543282459","160400.00","2621681104",2018
"Lyna","Gaming","Argentina","Gaming","Argentina","South America","15900000","6534326412","256300.00","2618577455",2014
"Doggy Doggy Cartoons","Entertainment","Nothing","Entertainment","Nothing","Other","16800000","6518418501","0.00","2612407400",2018
"������������������","People & Blogs","Russia","People & Blogs","Russia","Europe","13300000","6482687220","361000.00","2597173188",2015
"Rans Entertainment","People & Blogs","Indonesia","People & Blogs","Indonesia","Asia","25400000","6430853035","233900.00","2580031384",2015
"AzzyLand","Gaming","Canada","Gaming","Canada","North America","13300000","6412313570","21500.00","2568921878",2015
"TheGrefg","Gaming","Spain","Gaming","Spain","Europe","18000000","6404852037","175300.00","2567393405",2012
"Talking Tom & Friends","Entertainment","United States","Entertainment","United States","North America","15500000","6396049701","109500.00","2563102730",2010
"SRK MUSIC","Music","India","Music","India","Asia","15200000","6391679636","231200.00","2561301214",2012
"Rebecca Zamolo","Comedy","United States","Comedy","United States","North America","14300000","6388439235","0.00","2559665694",2011
"Katakit Baby TV","Music","Saudi Arabia","Music","Saudi Arabia","Other","15500000","6386271870","363700.00","2559267858",2010
"MrBeast Gaming","Gaming","Nothing","Gaming","Nothing","Other","36100000","6331332547","0.13","2543363019",2011
"Lil Nas X","Music","Nothing","Music","Nothing","Other","19100000","6339584661","184800.00","2541619304",2018
"DeGoBooM","Gaming","Chile","Gaming","Chile","South America","17600000","6306204566","400900.00","2527882096",2014
"Akon","Music","United States","Music","United States","North America","12900000","6300933122","365000.00","2524352749",2005
"Aadishakti Films","Music","India","Music","India","Asia","14500000","6290721701","193800.00","2520696820",2016
"The Royalty Family","People & Blogs","United States","People & Blogs","United States","North America","21300000","6269945014","640900.00","2514560276",2017
"Susy Mouriz","Entertainment","Mexico","Entertainment","Mexico","North America","13000000","6270909026","1500000.00","2512713610",2017
"Sidhu Moose Wala","Music","India","Music","India","Asia","21400000","6264261757","642800.00","2512317543",2017
"TheDonato","Entertainment","Argentina","Entertainment","Argentina","South America","31200000","6187804950","762700.00","2484710790",2015
"Avril Lavigne","Music","United States","Music","United States","North America","12400000","6202090191","200800.00","2484616316",2005
"5-Minute Crafts FAMILY","People & Blogs","United States","People & Blogs","United States","North America","15600000","6165757696","109500.00","2471015928",2018
"MY FAMILY","nan","Singapore","Other","Singapore","Other","15700000","6153495609","3800.00","2466109384",2019
"Ali-A","Gaming","Nothing","Gaming","Nothing","Other","18700000","6148303268","0.00","2464931307",2016
"5-Minute Crafts PLAY","Howto & Style","United States","Other","United States","North America","20100000","6119294270","423100.00","2453874638",2017
"MiawAug","Gaming","Indonesia","Gaming","Indonesia","Asia","20200000","6098644584","258000.00","2445595234",2014
"Shemaroo Comedy","Entertainment","India","Entertainment","India","Asia","18600000","6047584292","409700.00","2424736627",2007
"theRadBrad","Gaming","United States","Gaming","United States","North America","13300000","6050102764","62800.00","2424049946",2006
"Wish 107.5","Music","Philippines","Music","Philippines","Asia","14200000","6048517979","250600.00","2423742372",2014
"DrossRotzank","Entertainment","Argentina","Entertainment","Argentina","South America","23000000","6041264489","142200.00","2423448456",2006
"Pentatonix","Music","Canada","Music","Canada","North America","20000000","6033295543","0.00","2419318217",2006
"Yudist Ardhana","Entertainment","Indonesia","Entertainment","Indonesia","Asia","14100000","6036496916","704200.00","2419040026",2016
"Martin Garrix","Music","United States","Music","United States","North America","14600000","6017932195","142100.00","2411595508",2011
"KSI","Entertainment","United Kingdom","Entertainment","United Kingdom","Europe","24100000","6002166932","21800.00","2408103313",2009
"Ricis Official","People & Blogs","Indonesia","People & Blogs","Indonesia","Asia","33300000","5994136760","628400.00","2407833224",2016
"Logan Paul","Entertainment","United States","Entertainment","United States","North America","23600000","5994002464","43200.00","2404693946",2015
"Heidi y Zidane","nan","United States","Other","United States","North America","12700000","6001189018","64500.00","2404304957",2019
"Totoy kids - Espa��","Film & Animation","Mexico","Film & Animation","Mexico","North America","16000000","5997599089","449600.00","2403974516",2017
"Jass Records","Music","Nothing","Music","Nothing","Other","12700000","5958994201","0.00","2387407680",2012
"TazerCraft","Gaming","Brazil","Gaming","Brazil","South America","14900000","5956193599","159100.00","2386995170",2011
"Zach Choi ASMR","People & Blogs","United States","People & Blogs","United States","North America","21900000","5918314128","936900.00","2374176721",2014
"DM - Desi Melodies","Music","India","Music","India","Asia","15700000","5914071870","567400.00","2370508968",2017
"Tekashi 6ix9ine","People & Blogs","United States","People & Blogs","United States","North America","21500000","5890180734","454200.00","2362658554",2018
"Village Cooking Channel","Howto & Style","India","Other","India","Asia","21600000","5863377051","778400.00","2352064340",2018
"Melon City Show - �����������","Comedy","Iraq","Comedy","Iraq","Other","12800000","5863456698","141300.00","2349265069",2016
"Jordan Matter","Entertainment","United States","Entertainment","United States","North America","16600000","5819508534","796100.00","2333022244",2006
"Tasty","Howto & Style","United States","Other","United States","North America","21100000","5783557209","98800.00","2319782524",2016
"PrestonPlayz","Gaming","United States","Gaming","United States","North America","14600000","5766647017","606800.00","2311220847",2012
"Crafty Panda","People & Blogs","United States","People & Blogs","United States","North America","19800000","5759442450","24500.00","2309724330",2017
"Geo News","News & Politics","Pakistan","Other","Pakistan","Other","13800000","5727888539","400200.00","2295415476",2007
"MR. INDIAN HACKER","Science & Technology","India","Other","India","Asia","31700000","5711208484","436500.00","2294124344",2012
"Jazzghost","Gaming","Brazil","Gaming","Brazil","South America","13900000","5673347763","426900.00","2273637175",2012
"Venus Entertainment","Entertainment","Nothing","Entertainment","Nothing","Other","23800000","5663125358","127.00","2272390181",2016
"Goldmines Movies","Film & Animation","Nothing","Film & Animation","Nothing","Other","24000000","5652938599","0.01","2268375440",2018
"Marvel Entertainment","Entertainment","United States","Entertainment","United States","North America","20100000","5634695322","0.25","2259908129",2011
"Kimberly Loaiza","People & Blogs","Mexico","People & Blogs","Mexico","North America","41300000","5603111948","547000.00","2253798879",2016
"National Geographic","Science & Technology","United States","Other","United States","North America","21800000","5614621131","183200.00","2252443412",2006
"�������� ���� ��������������","Shows","Ukraine","Other","Ukraine","Other","12900000","5585085130","284500.00","2237989402",2014
"Total Gaming","Gaming","Nothing","Gaming","Nothing","Other","35400000","5556364230","0.21","2233165692",2006
"Diana and Roma IND","nan","United States","Other","United States","North America","12700000","5567832210","186400.00","2230998804",2019
"Zee Music Classic","Music","India","Music","India","Asia","15700000","5558051295","345800.00","2228034258",2014
"������������8 : Thai Ch8","Entertainment","Thailand","Entertainment","Thailand","Asia","14900000","5549770244","198200.00","2224437558",2011
"Awakening Music","Music","United Kingdom","Music","United Kingdom","Europe","13500000","5545936485","141200.00","2222466954",2006
"FIFA","Sports","Switzerland","Other","Switzerland","Other","19400000","5529131886","235500.00","2217543404",2006
"Noman Official","Comedy","India","Comedy","India","Asia","14600000","5525773746","556500.00","2214856448",2019
"Roman Atwood Vlogs","People & Blogs","United States","People & Blogs","United States","North America","15400000","5469103954","6300.00","2192263472",2013
"ADEL et SAMI","Entertainment","United States","Entertainment","United States","North America","13900000","5465532801","107500.00","2190415370",2018
"FAPTV","Comedy","Vietnam","Comedy","Vietnam","Asia","13700000","5457203710","140500.00","2187033634",2014
"Zach King","Entertainment","Nothing","Entertainment","Nothing","Other","20700000","5410164682","0.50","2170275873",2013
"Supercar Blondie","Autos & Vehicles","United Arab Emirates","Other","United Arab Emirates","Other","14100000","5405563355","1400000.00","2166875342",2007
"Alan Becker","Film & Animation","United States","Film & Animation","United States","North America","22900000","5380073627","0.00","2158899451",2006
"JULIA GISELLA","Entertainment","United Kingdom","Entertainment","United Kingdom","Europe","13500000","5380132790","6.00","2156103118",2015
"Troom Troom Indonesia","People & Blogs","Nothing","People & Blogs","Nothing","Other","12500000","5379684248","0.00","2155623699",2020
"RedeTV","Entertainment","Brazil","Entertainment","Brazil","South America","13100000","5333569294","70400.00","2137378838",2011
"Ultra Movie Parlour","Movies","India","Other","India","Asia","22900000","5320485069","0.00","2135064028",2011
"Mohamed Ramadan I �������","People & Blogs","Egypt","People & Blogs","Egypt","Other","15100000","5324913850","184200.00","2134550800",2014
"Lachlan","Gaming","Australia","Gaming","Australia","Oceania","14800000","5269059435","84300.00","2112089064",2013
"twenty one pilots","Music","United States","Music","United States","North America","13100000","5264039679","203700.00","2109606982",2009
"The Infographics Show","Education","United States","Education","United States","North America","13200000","5263540904","207300.00","2109438552",2011
"Sidemen","Entertainment","United Kingdom","Entertainment","United Kingdom","Europe","18800000","5257834105","312600.00","2108867422",2015
"Lele Pons","Comedy","United States","Comedy","United States","North America","17900000","5244917119","74200.00","2103359108",2015
"RKD Studios","Entertainment","India","Entertainment","India","Asia","19500000","5234251168","0.00","2099550467",2014
"MC Divertida","Entertainment","Brazil","Entertainment","Brazil","South America","13200000","5224764969","258100.00","2093943418",2018
"T-Series Regional","Entertainment","India","Entertainment","India","Asia","13900000","5217553897","133900.00","2091231729",2011
"Goldmines Great Indian Comedy","Film & Animation","Nothing","Film & Animation","Nothing","Other","19100000","5194942269","263700.00","2083786018",2016
"infobells","Education","India","Education","India","Asia","13700000","5178142148","95600.00","2075395539",2011
"RobleisIUTU","Entertainment","Argentina","Entertainment","Argentina","South America","17900000","5168721499","110200.00","2072891660",2013
"Infinite","Entertainment","United States","Entertainment","United States","North America","21300000","5141834668","273400.00","2063205887",2014
"Wave Music Bhakti","Music","India","Music","India","Asia","12500000","5146004207","44300.00","2062164973",2011
"JOJO TV - Hindi Stories","Education","India","Education","India","Asia","13600000","5141201173","43100.00","2060573399",2016
"Trap City","Music","Australia","Music","Australia","Oceania","14100000","5129529846","0.59","2056041939",2015
"5-Minute Crafts DIY","Howto & Style","United States","Other","United States","North America","20700000","5091618606","80000.00","2042881442",2018
"Crescendo com Luluca","Entertainment","Brazil","Entertainment","Brazil","South America","14000000","5094050461","272200.00","2041901844",2015
"Tu COSMOPOLIS","People & Blogs","Mexico","People & Blogs","Mexico","North America","16700000","5089284369","64600.00","2040743128",2014
"Super Senya","Entertainment","Nothing","Entertainment","Nothing","Other","15500000","5070970714","0.00","2033038286",2017
"TWICE","Music","Nothing","Music","Nothing","Other","16100000","5055576881","394900.00","2027179222",2016
"Jomy Production","Entertainment","India","Entertainment","India","Asia","13000000","5057163256","0.01","2026765302",2021
"Willyrex","Gaming","Spain","Gaming","Spain","Europe","17200000","5024088947","61600.00","2014814059",2009
"123 GO! Spanish","People & Blogs","Mexico","People & Blogs","Mexico","North America","13800000","5019136690","106100.00","2011826506",2019
"Boram Tube ToysReview [���������","People & Blogs","South Korea","People & Blogs","South Korea","Asia","14500000","5014888374","19800.00","2010311290",2016
"iTownGamePlay *Terror&Diversi��","Entertainment","Spain","Entertainment","Spain","Europe","14900000","4977284539","55400.00","1995400436",2012
"Hongyu ASMR ��","People & Blogs","Nothing","People & Blogs","Nothing","Other","15100000","4967784343","0.00","1991643737",2021
"MyMissAnand","People & Blogs","India","People & Blogs","India","Asia","13700000","4963275018","111500.00","1989453457",2014
"Deddy Corbuzier","Entertainment","Indonesia","Entertainment","Indonesia","Asia","20600000","4956090094","0.34","1988616038",2007
"AM3NlC","Gaming","Brazil","Gaming","Brazil","South America","14000000","4959982720","40800.00","1988205328",2012
"NDTV","Entertainment","India","Entertainment","India","Asia","12500000","4935793409","234100.00","1978137594",2006
"Brave Wilderness","Pets & Animals","United States","Other","United States","North America","20900000","4927879069","0.00","1977421628",2014
"�������������� ����","Education","United States","Education","United States","North America","19000000","4924054368","86300.00","1975347637",2018
"zayn","Music","United States","Music","United States","North America","15400000","4909687948","147200.00","1968539339",2016
"HolaSoyGerman.","Entertainment","Nothing","Entertainment","Nothing","Other","43600000","4831311245","0.02","1945604498",2016
"Eli Kids - Cartoons & Songs","nan","United States","Other","United States","North America","14500000","4821183481","597000.00","1933002492",2018
"ExtraPolinesios","People & Blogs","Nothing","People & Blogs","Nothing","Other","16200000","4813127504","2.00","1930111002",2015
"Caylus","Education","United States","Education","United States","North America","12400000","4779139505","710400.00","1915588922",2016
"Super Polina","People & Blogs","United States","People & Blogs","United States","North America","14300000","4776507159","1700.00","1914893374",2014
"W2S","Gaming","United Kingdom","Gaming","United Kingdom","Europe","16300000","4768370464","12300.00","1912241876",2012
"BB Ki Vines","Entertainment","India","Entertainment","India","Asia","26300000","4749833967","69100.00","1907844317",2015
"Kerajinan 5-Menit","People & Blogs","Indonesia","People & Blogs","Indonesia","Asia","15400000","4750420071","79000.00","1904811728",2018
"PlayStation","Gaming","United States","Gaming","United States","North America","15000000","4741434420","167200.00","1901123928",2005
"Blossom","Howto & Style","United States","Other","United States","North America","12700000","4733873025","175500.00","1897411860",2017
"SlivkiShow","Entertainment","Ukraine","Entertainment","Ukraine","Other","20400000","4707412332","116000.00","1889119733",2012
"Lokdhun Punjabi","Music","India","Music","India","Asia","13100000","4712624489","137800.00","1889021136",2010
"Camila Loures","Music","Brazil","Music","Brazil","South America","14700000","4684983333","163900.00","1878452503",2014
"TV Ana Emilia","People & Blogs","Mexico","People & Blogs","Mexico","North America","14000000","4674164601","107100.00","1873897970",2014
"The LaBrant Fam","Comedy","United States","Comedy","United States","North America","13000000","4637474071","0.00","1858889628",2012
"Bie The Ska","Entertainment","Thailand","Entertainment","Thailand","Asia","14100000","4627069704","50000.00","1855072882",2006
"Parafernalha","Entertainment","Brazil","Entertainment","Brazil","South America","12500000","4625777945","28600.00","1854069758",2011
"Planeta das G��","People & Blogs","Brazil","People & Blogs","Brazil","South America","14600000","4622581344","42200.00","1853425198",2015
"Vlad y Niki Show","nan","United States","Other","United States","North America","13400000","4622628957","368900.00","1853182253",2018
"VICE","Entertainment","United States","Entertainment","United States","North America","16900000","4609753237","145400.00","1849014915",2005
"Hungria Hip Hop","Music","Brazil","Music","Brazil","South America","13100000","4608751851","192900.00","1847488610",2013
"BBC News","News & Politics","United Kingdom","Other","United Kingdom","Europe","14500000","4598387043","265100.00","1843784347",2006
"Rosanna Pansino","Howto & Style","United States","Other","United States","North America","14400000","4597228794","106700.00","1843243528",2010
"Adexe & Nau","Music","Spain","Music","Spain","Europe","12700000","4579773883","40300.00","1835731643",2013
"les boys tv2","Entertainment","United States","Entertainment","United States","North America","14500000","4577292740","1800.00","1835267636",2017
"TheOdd1sOut","Comedy","United States","Comedy","United States","North America","19100000","4566120190","123900.00","1832215246",2014
"MrBeast 2","People & Blogs","United States","People & Blogs","United States","North America","27500000","4552581106","0.00","1829282442",2011
"The ACE Family","People & Blogs","Nothing","People & Blogs","Nothing","Other","18500000","4558380251","11300.00","1828905490",2016
"AboFlah","Gaming","Kuwait","Gaming","Kuwait","Other","30500000","4521573939","631600.00","1817969056",2016
"Baim Paula","People & Blogs","Indonesia","People & Blogs","Indonesia","Asia","21100000","4526271677","107900.00","1816871041",2016
"Unbox Therapy","Science & Technology","Nothing","Other","Nothing","Other","19300000","4508184467","66900.00","1809083857",2010
"The MriDul","Comedy","India","Comedy","India","Asia","15200000","4503880875","393300.00","1806230340",2015
"�������� �������������� ���� 5 ����������","Howto & Style","Egypt","Other","Egypt","Other","15500000","4499826716","131700.00","1804620196",2017
"AdMe","Entertainment","Spain","Entertainment","Spain","Europe","16200000","4488680903","0.02","1800332361",2006
"Stokes Twins","People & Blogs","United States","People & Blogs","United States","North America","21800000","4469711607","791800.00","1794662183",2008
"ashish chanchlani vines","Comedy","India","Comedy","India","Asia","29800000","4457913639","104700.00","1792136866",2009
"CKM","Comedy","India","Comedy","India","Asia","12500000","4465772496","52600.00","1790074778",2018
"Ben Azelart","Film & Animation","United States","Film & Animation","United States","North America","21900000","4454917643","739800.00","1788758997",2014
"TheBrianMaps","Comedy","Russia","Comedy","Russia","Europe","17100000","4448334716","148700.00","1784508496",2012
"Kaykai Salaider","Comedy","Thailand","Comedy","Thailand","Asia","16400000","4434679706","37400.00","1778803102",2011
"��������������� Ms Yeah","People & Blogs","United States","People & Blogs","United States","North America","13100000","4399833602","242600.00","1763936221",2017
"Beast Reacts","People & Blogs","United States","People & Blogs","United States","North America","26700000","4388047013","1100000.00","1763558805",2016
"melanie martinez","Music","United States","Music","United States","North America","14900000","4395184343","225400.00","1762611357",2007
"nigahiga","Entertainment","United States","Entertainment","United States","North America","21000000","4380564906","9900.00","1758528932",2006
"Troom Troom PT","Howto & Style","Nothing","Other","Nothing","Other","12500000","4384177908","54000.00","1757437363",2015
"H2ODelirious","Gaming","United States","Gaming","United States","North America","13400000","4356686216","67100.00","1746714616",2007
"MoreAliA","Gaming","United Kingdom","Gaming","United Kingdom","Europe","15000000","4352427049","1000000.00","1745770820",2013
"7 Minutoz","Music","Brazil","Music","Brazil","South America","13000000","4349562794","118100.00","1743760548",2012
"AH","Entertainment","Indonesia","Entertainment","Indonesia","Asia","30400000","4332274962","85800.00","1742055725",2014
"Quantum Tech HD","Science & Technology","Pakistan","Other","Pakistan","Other","12500000","4340213066","35.00","1739835237",2022
"shane","People & Blogs","United States","People & Blogs","United States","North America","19200000","4329121104","10900.00","1737411712",2005
"Saad Lamjarred | ������","Music","Morocco","Music","Morocco","Other","14500000","4315486422","150300.00","1730589659",2012
"The Q","People & Blogs","United States","People & Blogs","United States","North America","13400000","4306212515","0.01","1726505006",2006
"Typical Gamer","Gaming","Canada","Gaming","Canada","North America","13500000","4301581610","130200.00","1724721704",2008
"whinderssonnunes","Comedy","Brazil","Comedy","Brazil","South America","44200000","4274709210","106700.00","1723175694",2013
"Franco Escamilla","Comedy","Mexico","Comedy","Mexico","North America","12700000","4266957149","309900.00","1710685830",2007
"Reaction Time","Entertainment","United States","Entertainment","United States","North America","14500000","4260187928","39600.00","1708437051",2015
"Makiman131","Gaming","Spain","Gaming","Spain","Europe","15100000","4236036141","23900.00","1698951626",2013
"Peppa Pig em Portugu���������","Film & Animation","Brazil","Film & Animation","Brazil","South America","13100000","4214172991","109400.00","1689632016",2014
"Vilmei","nan","Indonesia","Other","Indonesia","Asia","13200000","4205664894","1100000.00","1686555958",2013
"Lil Pump","Music","Nothing","Music","Nothing","Other","17700000","4196061192","0.00","1683734477",2015
"Vogue","Entertainment","United States","Entertainment","United States","North America","13300000","4177184071","180400.00","1674917748",2008
"Bebefinn - Nursery Rhymes & Kids Songs","nan","United States","Other","United States","North America","12500000","4163639093","0.00","1669205637",2022
"Indore Physical Academy","People & Blogs","India","People & Blogs","India","Asia","14400000","4156427797","281600.00","1666975599",2014
"BanderitaX","Gaming","Saudi Arabia","Gaming","Saudi Arabia","Other","13300000","4129249415","282800.00","1655774606",2013
"Arif muhammad","People & Blogs","Indonesia","People & Blogs","Indonesia","Asia","15800000","4122634467","287500.00","1653880037",2017
"PDK Films","Entertainment","United States","Entertainment","United States","North America","18400000","4120324310","57700.00","1653667034",2009
"AuronPlay","Comedy","Spain","Comedy","Spain","Europe","29200000","4079141673","48600.00","1640431249",2006
"JJ Olatunji","Gaming","United Kingdom","Gaming","United Kingdom","Europe","16200000","4076692623","111200.00","1635570409",2011
"James Charles","Entertainment","United States","Entertainment","United States","North America","23900000","4067878931","232500.00","1634391322",2015
"Willie Salim","People & Blogs","Indonesia","People & Blogs","Indonesia","Asia","18500000","4051072188","789500.00","1626215725",2014
"Invento na Hora","Film & Animation","Brazil","Film & Animation","Brazil","South America","14200000","4040297006","76100.00","1620401632",2014
"Coke Studio","Music","United States","Music","United States","North America","14400000","4035738731","14200.00","1618619752",2008
"ERB","Entertainment","United States","Entertainment","United States","North America","14900000","4033400167","44200.00","1617843327",2006
"StudyIQ IAS","Education","India","Education","India","Asia","14700000","4029253667","297900.00","1616200837",2015
"Heidi and Zidane HZHtube","Entertainment","Canada","Entertainment","Canada","North America","12400000","4021409291","38400.00","1612295236",2015
"XpressTV","Entertainment","Mexico","Entertainment","Mexico","North America","15000000","4008801873","135500.00","1608061399",2014
"Manual do Mundo","Howto & Style","Brazil","Other","Brazil","South America","18000000","3980991248","219100.00","1597862229",2006
"Jess No Limit","Entertainment","Indonesia","Entertainment","Indonesia","Asia","34000000","3963007415","2200000.00","1596062966",2017
"Clash of Clans","Gaming","United States","Gaming","United States","North America","19600000","3961318438","89200.00","1590434135",2013
"Sandra Cires Art","Howto & Style","United States","Other","United States","North America","16400000","3955426159","72100.00","1587112094",2011
"E-MasterSensei","Gaming","Mexico","Gaming","Mexico","North America","14200000","3920559552","178300.00","1572537311",2016
"�������������������� ��������������������","Entertainment","Nothing","Entertainment","Nothing","Other","14100000","3920221322","81.00","1572318553",2017
"Sanjoy Das Official","Entertainment","India","Entertainment","India","Asia","13500000","3912334359","716900.00","1569198814",2015
"Rclbeauty101","Comedy","United States","Comedy","United States","North America","14400000","3900312631","34500.00","1564455402",2010
"Gordon Ramsay","Entertainment","United Kingdom","Entertainment","United Kingdom","Europe","20000000","3875172235","156900.00","1556115964",2006
"Juliana Baltar","Entertainment","Brazil","Entertainment","Brazil","South America","15600000","3869457097","224900.00","1552530309",2010
"KatieAngel","People & Blogs","United States","People & Blogs","United States","North America","17900000","3841205465","206700.00","1541914196",2015
"Fatos Desconhecidos","Entertainment","Brazil","Entertainment","Brazil","South America","20900000","3828000587","209300.00","1537533025",2013
"EeOneGuy","Entertainment","United States","Entertainment","United States","North America","16900000","3827906874","6500.00","1536234700",2013
"JFlaMusic","Music","South Korea","Music","South Korea","Asia","17600000","3802280098","44400.00","1526205359",2011
"Sonotek Bhakti","Entertainment","India","Entertainment","India","Asia","13200000","3789736218","101300.00","1519884877",2010
"Lindsey Stirling","Music","United States","Music","United States","North America","13600000","3764608356","61100.00","1509941672",2007
